Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,BoundaryTest,setUp,5,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,BoundaryTest,tearDown,5,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,BoundaryTest,testBoundary,32,5,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,CodeCacheObj,6,1,3
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,getStartAddress,3,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,getEndAddress,3,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,getAllocCount,3,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,incrementReclaimedCount,3,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,getReclamationCount,3,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,addressRangeIncludes,3,1,1
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,addMethod,3,1,1
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,hasMethod,9,3,1
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,addressRangeIncludes,26,8,1
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,clearMethodList,4,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,toString,3,1,0
openj9-openj9-0.9.0-rc1,jit.test.jitt.codecache,CodeCacheObj,removeMethod,9,3,1
